"Name","Address","Description","Latitude","Longitude"
"Popwallet","911 Washington Avenue, St. Louis, MO 63101, USA","<p>Popwallet is a mobile wallet marketing automation platform that enables brand and retail marketers to create, distribute, and track usage of promotions through mobile wallets like Apple Wallet and Android Pay.</p>",38.6313709,-90.1932113
"Sherpa","3030 Locust Street, St. Louis, MO, United States","<p>CRM software startup dedicated to improving the lives of older adults as they transition into senior housing.</p>",38.635758,-90.222994
"Ameren Accelerator","4240 Duncan Avenue, St. Louis, MO, United States","Announced in spring 2017, the Ameren Accelerator is a partnership between Ameren Corporation, Capital Innovators and the University of Missouri-St. Louis' UMSL Accelerate. The accelerator will assess, mentor and invest in energy technology startup companies. It will choose five to seven startup companies to participate in the program, with each receiving $100,000 in seed capital. The program will take place in Cortex.",38.6346357,-90.2513342
"Clearent","222 South Central Avenue, Clayton, MO, United States","Clearent is a full stack payment processor, which means it is a processor, gateway and acquirer – all in one.</p><p><a href='https://twitter.com/goclearent?lang=en target='_blank'>Twitter</a><br><a href='http://www.clearent.com/careers/ target='_blank'>Job Openings</a></p>",38.6465148,-90.338375
"Lewis & Clark Ventures","120 S Central Ave, Clayton, MO, United States","<p>Lewis &amp; Clark Ventures is a VC firm literally forged from the startup scene in St Louis as it was founded by former operators at Answers Corp, one of the largest exits in the region. Holding the conviction that innovation and entrepreneurial talent are plentiful between the U.S. coasts, Lewis &amp; Clark Ventures invests in Series A stage companies throughout America’s heartland in sectors such as enterprise software, healthcare IT and agriculture technology and aims to become a trusted partner to every entrepreneur that assist in their journey towards scale and significance.</p>",38.647948,-90.3378696
"SteadyMD","4818 Washington Avenue, St. Louis, MO, United States","Online Concierge Primary Care",38.6499727,-90.2602052
"CellARide","911 Washington Avenue, St. Louis, MO, United States","CellARide is a technology company using text messages to revolutionize vehicle shopping.

CellARide provides value to shoppers, dealerships, and automotive brands. Shoppers have an easy way to get pertinent information about vehicles without awkward conversation. Dealerships have a lead capture tool with valuable shopper insights, including their elusive cell phone number. Brands receive insight into how the shopper is interacting with their vehicles across multiple channels.

Our SaaS products have proven ROI, with a dealership attributing 200+ car sales over 3 years to the product. We were the first text message product to be approved for the GM Co-Op program. Our current client base includes Toyota’s Central Atlantic Region and we are in negotiations for National deals with Gannett, Toyota, Nissan, Simon Malls and Enterprise Car Sales. We recently began working with Honda North America and have a pilot commitment from Bass Pro Shops.",38.6314422,-90.1931569
"Clockwork","3407 S Jefferson Ave, St. Louis, Missouri 63118, USA","Clockwork is AI-powered software to help you save time and take control of your finances. Clockwork uses real-time information to automatically build out your financial projections and cash flow forecasts. Small businesses can easily customize the assumptions, collaborate, and create “what if”​ scenarios without having to fumble through Excel or Google Sheets.<br>",38.5930323,-90.225859
"Geneoscopy","2220 Welsch Industrial Ct, St. Louis, MO 63146, USA","<p>Geneoscopy is developing a noninvasive, stool-based, preventive screening test to diagnose and treat colorectal cancer (CRC) in high-risk individuals with a methodology that is more accurate than a colonoscopy.</p>",38.7002615,-90.4336533
"STL Venture Works - West County","743 Spirit 40 Park Drive, Chesterfield, MO 63005, United States","Conveniently located near the Spirit of St. Louis Airport in Chesterfield, Missouri, STLVentureWorks-West County features affordable office, warehouse and production space for startup and early stage small- to mid-sized businesses. Venture Works aims to provide affordable, high quality space offers opportunities for ventures to build momentum, including on-site support, fresh insights, connection to capital, networking and customized mentoring.",38.673007,-90.641486
"MathBRIX","212 South Bemiston Avenue, Clayton, St. Louis, MO 63105, United States","MathBRIX is a producing a cloud-delivered series of standards-aligned adventure games designed to strengthen in-school mathematics programs (K-6). The curriculum is based on 20 years of extensive research. Children arrive at solutions by manipulating virtual Lego-like bricks across the tablet screen. Both consumer and school versions will be available.",38.646951,-90.3370715
"Veterans Business Resource Center","T-REX, Washington Avenue, St. Louis, MO, United States","The St. Louis Veterans Business Resource Center (VBRC) is dedicated to helping men and women who have served in the U.S. Armed Forces achieve the American dream of owning and successfully operating their own businesses. The Center will serve all Veterans and Active Duty personnel, including National Guard men and women and Reservists of all branches.",38.6312958,-90.1932019
"MADE","5127 Delmar Blvd, St. Louis, MO 63108, USA","MADE is a community-based workshop and prototyping studio on a mission to democratize access to the tools of innovation. Packed with cutting-edge equipment and machinery, including computers loaded with design software featuring the Autodesk Design Suite, MADE offers not only a space to make, but the support and camaraderie of a community of makers.",38.6524423,-90.268209
"Nidus Partners","1005 Warson Road, St. Louis, MO, United States","Nidus Partners, LP is a unique collaboration between experienced entrepreneurs and strategic corporations to identify and commercialize innovative technologies broadly impacting the energy markets.

The partnership provides seed funding, entrepreneurial experience and market input to identify and manage the key risks in advancing early technology towards commercialization.</p><p><a href='http://twitter.com/#!/NidusPartners target='_blank'>Twitter</a><br><a href='http://www.linkedin.com/groups?gid=2832870&trk=anetsrch_name&goback=%2Egdr_1269551426989_1 target='_blank'>Linkedin</a></p>",38.6417895,-90.3958279
"Coolfire Solutions","415 North 10th Street, St. Louis, MO, USA","<p>Originally developed to help soldiers on the battlefield achieve situational awareness, Coolfire Solutions now supports a wide variety of employees operating on the frontlines in a variety of industries. Coolfire Solutions connects data from disparate systems and sensors, then visualizes the data by putting it in context for the users and creating an environment for real-time communication between all entities to generate and maintain a common operational picture.</p>",38.6303157,-90.1942759
"Missouri Technology Corporation","301 West High Street, Jefferson City, MO, United States","The Missouri Technology Corporation is a public-private partnership created by the Missouri General Assembly to promote entrepreneurship and foster the growth of new and emerging high-tech companies.  MTC focuses on 21st Century bioscience industries that build on Missouri's rich history in agriculture.<p></p><p><a href=""https://twitter.com/MoTechCorp target="" _blank'="""">Twitter</a></p>",38.5788439,-92.17629
"Savvy Coders Meetup","St. Louis, MO, United States","A meetup for beginning coders looking to network and explore a career in programming. SavvyCoders also offers coding instruction in a classroom setting.<p></p><p><a href=""https://twitter.com/savvycoders target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/SavvyCodersStLouis/ target="" _blank'="""">Facebook</a></p>",38.6270025,-90.1994042
"ITEN Entrepreneur in Residence","T-REX, Washington Avenue, St. Louis, MO, United States","ITEN's Entrepreneur In Residence (EIR) program addresses the needs of the most promising and compelling early-stage startups. The EIRs select ventures that can best benefit from a focused, hands-on, strategic advisor to achieve rapid acceleration.</p><p><a href='https://twitter.com/itenstl target='_blank'>Twitter</a><br><a href='https://www.facebook.com/itenstlouis target='_blank'>Facebook</a><br><a href='https://www.linkedin.com/company/itenstl target='_blank'>Linkedin</a>",38.6312958,-90.1932019
"BioSTL Fundamentals","20 S Sarah St, St. Louis, MO, United States","BioSTL Fundamentals is a business-coaching program designed to support early, would-be entrepreneurs in the Life Sciences in St. Louis. The program provides a one-on-one, customized business learning experience for each participant.</p><p><a href='http://twitter.com/#!/biostl target='_blank'>Twitter</a><br><a href='http://www.facebook.com/BioSTL target='_blank'>Facebook</a><br><a href='http://www.linkedin.com/company/biostl target='_blank'>Linkedin</a>",38.6362117,-90.2467661
"The OC @ CWE","4436 Olive Street, St. Louis, MO, United States","The OC @ CWE is a new coworking and event space in St. Louis’ vibrant Central West End neighborhood.</p><p><a href='https://twitter.com/theoccwe target='_blank'>Twitter</a><br><a href='https://www.facebook.com/theoccwe/ target='_blank'>Facebook</a></p>",38.6471703,-90.2534651
"Exit 11 Workspace","1351 Jefferson St, Washington, MO 63090, United States","<p>Whether you work from a home office, corporate office, coffee shop or kitchen table, there is a place for you to get work done, meet and collaborate at Exit 11.</p>",38.5455413,-91.0173559
"St. Louis Regional Chamber Diverse Business Accelerator","One Metropolitan Square Building, St. Louis, MO, United States","The St. Louis Regional Chamber Diverse Business Accelerator (DBA) is for ethnically, racially, and gender-diverse business owners looking to advance their professional objectives and build capacity. In the span of three months, the program walks owners through how to develop their business goals, market and communicate their services, make meaningful connections, and prepare for growth.<p></p>",38.6275525,-90.1900027
"StatCard Sports","16982 Manchester Rd Unit 142, Grover, MO, United States","StatCard Sports was designed for athletes to keep their stats, progress & athletic achievements while connecting with sports individuals as well as locating camps, tryouts, tournaments and select teams. Create a free  player profile and connect with doctors, recruiters, trainers & coaches today!",38.5757266343578,-90.6380530306885
"Sparo Labs","911 Washington Avenue, St. Louis, MO, United States","Sparo Labs is transforming respiratory care. Its flagship product, Wing®, is the first FDA-cleared, over-the-counter smartphone sensor + app for monitoring lung function—empowering people to proactively control respiratory conditions like asthma.",38.6314422,-90.1931569
"The Bio Research & Development Growth (BRDG) Park","1005 N Warson Rd, St. Louis, MO 63141, United States","<p>BRDG Park at the Danforth Plant Science Center offers leading bio research facilities with world-class wet labs, office space for lease and on-site workforce training. Emerging scientific enterprises get just the right combination for success: interactions between top scientists and access to state-of-the-art core facilities such as technologically advanced greenhouses, growth chambers, microscopy, proteomics and tissue transformation facilities, as well as other vital resources.</p>",38.6759628,-90.3947584
"Missouri S&T Technology Development Center","900 Innovation Drive, Rolla, MO, United States","In January 2011, Missouri University of Science and Technology (Missouri S&T) opened the Technology Development Center at Innovation Park. It's located at 900 Innovation Drive across the street from Phelps County Regional Medical Center off of 10th Street in Rolla, Missouri. The facility provides Class A office suites and shared office space for a variety of clients, particularly technology-oriented tenants. The building is about 22,000 gross square feet with roughly 18,000 square feet of leasable space. The project had a construction budget of approximately $2.5 million. Construction of the facility began in July 2010 and was completed in September 2010. The Technology Development Center was the first building constructed at Innovation Park which is the newly designated research park at Missouri S&T.",37.950676,-91.784256
"Ferguson 1000","Ferguson, MO, United States","The mission of Ferguson 1000 is to be a  primary engine for economic development in Ferguson, and other urban cities nationwide. Their objective is to leverage the City’s assets to drive growth, create jobs, and improve quality of life through corporate relationships and minority business development.</p><p><a href='https://twitter.com/1000Ferguson target='_blank'>Twitter</a><br><a href='https://www.facebook.com/1000Ferguson target='_blank'>Facebook</a></p>",38.7442175,-90.3053915
"Youth Digital","St. Louis, MO, United States","Youth Digital's project-based courses provide in-depth learning experiences that are also fun and engaging. Students learn critical aspects of computer science in the context of creating an ​incredible project.</p><p><a href='https://twitter.com/YouthDigital target='_blank'>Twitter</a><br><a href='https://www.facebook.com/YouthDigital/ target='_blank'>Facebook</a></p>",38.6270025,-90.1994042
"Ascension Mobile LLC","2634 Macklind Avenue Suite 100 St. Louis, Mo 63139","Ascension Mobile’s mission is to simplify mobile telecommunications for enterprise applications. 

Ascension Mobile operates in:

Hardware
Simplifies the hardware procurement process by providing cost-effective new and Better-Than-New™ hardware (high-quality refurbished devices), often over  a long horizon (3-5 years).

Carrier/Cost Optimization
Simplifies carrier billing and utilization through our proprietary software solution to provide unparalleled clarity, reducing both out-of-pocket costs and internal costs, while delivering superior and consistent customer service.

Mobile Solutions
Enterprise solutions are not one size fits all.  At Ascension Mobile we work closely with our customers to develop solutions that fit the exact needs of the business.  Pulling from our expertise in mobile hardware, carrier billing, logistics, repair, testing, and customer service, we create the perfect mobile solutions for each customer.",38.6099774302513,-90.2784361295303
"Brazen Global","CIC St. Louis, 4240 Duncan Avenue, St. Louis, MO, United States","Brazen Global, formerly the Prosper Institute, exists to help growth-seeking women entrepreneurs advance their businesses to create economic prosperity.  Our technology-supported programs have been designed with research and evidence-based methodologies to acutely address the issues facing women entrepreneurs as they seek to launch and scale businesses in a continuous, immersive way. By collaborating with other entrepreneurship support organizations, Brazen helps women better navigate existing resources, build enhanced business networks and increase their level of confidence to grow and capitalize their companies. Our flagship programs include the Brazen Global Membership and Mastermind Growth Groups (MMGGs).</p><p><a href='https://twitter.com/brazenglobal target='_blank'>Twitter</a><br><a href='https://www.facebook.com/brazenglobal target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company-beta/16208852/?pathWildcard=16208852 target='_blank'>Linkedin</a></p>",38.6350619,-90.2517044
"The Bio Research & Development Growth (BRDG) Park","1005 N Warson Rd, St. Louis, MO 63141, United States","BRDG Park at the Danforth Plant Science Center offers leading bio research facilities with world-class wet labs, office space for lease and on-site workforce training. Emerging scientific enterprises get just the right combination for success – interactions between top scientists and access to state-of-the-art core facilities such as technologically advanced greenhouses, growth chambers, microscopy, proteomics and tissue transformation facilities, as well as other vital resources.</p><p><a href='https://twitter.com/BRDGPark target='_blank'>Twitter</a><br><a href='https://www.facebook.com/BrdgPark/ target='_blank'>Linkedin</a></p><br><a href='http://www.brdgpark.com/careers/ target='_blank'>Job Openings</a></p>",38.6759628,-90.3947584
"STL Venture Works - South County","315 Lemay Ferry Road, Lemay, MO 63125, United States","As part of the largest network of its kind in the Midwest, STLVentureWorks-South County is a community where companies from virtually every business sector thrive. The 21,000-square-foot business incubator features office, warehouse, and production space, and is the only facility to offer retail space for startup and early stage small- to mid-sized businesses. Venture Works aims to provide affordable, high quality space offers opportunities for ventures to build momentum, including on-site support, fresh insights, connection to capital, networking and customized mentoring.<p></p><p><a href=""https://twitter.com/STLVentureWorks target="" _blank'="""">Twitter</a></p>",38.5422759,-90.2776601
"The Mission Center, L3C","20 S Sarah St, St. Louis, MO, United States","The Mission Center provides critical administrative services to nonprofits in an affordable, streamlined manner so they can lower their costs, focus on their true mission and maximize their social impact.</p><p><a href='http://www.twitter.com/missioncenter target='_blank'>Twitter</a><br><a href='https://www.facebook.com/nonprofitservices target='_blank'>Facebook</a><br><a href='https://www.linkedin.com/company/2378996 target='_blank'>Linkedin</a>",38.6362117,-90.2467661
"Community Development Ventures, Inc.","Cortex, Forest Park Avenue, St. Louis, MO, United States","Entrepreneurial, economic, community & resource development advisory firm.</p><p><a href='https://twitter.com/dick_fleming target='_blank'>Twitter</a><br><a href='https://www.facebook.com/dick.fleming.58 target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/dickfleming target='_blank'>Linkedin</a></p>",38.636571,-90.252983
"The Mission Center, L3C","20 S Sarah St, St. Louis, MO, United States","The Mission Center provides critical administrative services to nonprofits in an affordable, streamlined manner so they can lower their costs, focus on their true mission and maximize their social impact.</p><p><a href='http://www.twitter.com/missioncenter target='_blank'>Twitter</a><br><a href='https://www.facebook.com/nonprofitservices target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/2378996 target='_blank'>Linkedin</a></p>",38.6362117,-90.2467661
"SixThirty","911 Washington Avenue, St. Louis, MO, United States","SixThirty is a global FinTech seed fund and business development accelerator. SixThirty’s mission is to attract the most innovative and promising FinTech ideas, and work with like-minded corporate partners to mentor and grow them into great businesses. SixThirty provides up to $100,000 in funding and valuable mentorship and connections to some of the top financial services companies in the country. The SixThirty accelerator program runs for 12 weeks twice per year and focuses on business development and revenue acceleration for startups around the world.</p><p><a href='https://twitter.com/sixthirtyaccel target='_blank'>Twitter</a><br><a href='https://www.facebook.com/sixthirtyaccelerator target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/sixthirty-financial-technology-accelerator target='_blank'>Linkedin</a></p>",38.6314422,-90.1931569
"The Center for Emerging Technologies","20 South Sarah Street, St. Louis, MO 63108, United States","<p>Founded in 1998, the Center for Emerging Technologies (CET) is the largest and oldest Innovation Center in Missouri. CET is nationally recognized for providing the infrastructure and resources needed for early-stage, high-growth companies in the fields of information technology, bioscience and consumer/manufactures products to innovate and thrive. An affiliate of the Cortex Innovation Community since 2012, CET includes a 88,000 sq. ft. facility offering shared lab facilities, private wet and dry labs, production and office space, and shared equipment, conference rooms and amenities.</p>",38.6362117,-90.2467661
"bazaarpass","TechArtista CWE, Washington Boulevard, St. Louis, MO, United States","The bazaarpass marketing platform helps brands grow their audiences through membership solutions. The software centralizes audience intelligence, and offer opportunities for users to integrate their existing promotional partners.",38.6499727,-90.2602052
"Lipospectrum","STLVentureWorks, 3830 Washington Blvd, St. Louis, MO 63108, United States","Lipospectrum’s technology employs novel, cost effective, and comprehensive lipid analysis of blood samples to detect lipid biomarkers that have been shown to be directly related to cancers and cardiovascular disease. Lipospectrum is initially focusing on a breast cancer diagnosis study to reduce healthcare costs. Subsequent disease studies will follow.<br><a href=""https://www.facebook.com/LipoSpectrum/ target="" _blank'="""">Facebook</a><br><a href=""https://twitter.com/lipospectrum target="" _blank'="""">Linkedin</a>",38.6410565,-90.2364189
"1904labs","20 South Sarah Street, St. Louis, MO, United States","The 1904labs Difference
Our goal is simple. Be the best outsourced partner to build cloud-based software and data solutions. We achieve this by being a partner that is easy to work with, provides innovative start-up minded people and with the right experience to deliver excellent results in our chosen areas of focus.",38.6362117,-90.2467661
"Prolog Ventures","7733 Forsyth Blvd, Suite 1100, St. Louis, MO 63105","Prolog Ventures is a venture capital company that backs companies that aim to promote healthy living. They have two funds, but the Prolog Healthy Living Funds is closed to new investments. The open fund is Prolog Lonza Fund which is offered in partnership with Lonza Specialty Ingredients, a world leader in microbial control solutions. The fund invests in startups that promote effective hygiene everywhere, from hospitals and public areas to workplaces and homes.&nbsp;<br>",38.6504434,-90.3356165
"St Louis County Library","1640 S Lindbergh Blvd, St. Louis, MO 63131, USA","When St. Louis businesses prosper, the local economy becomes stronger and the next generation has more opportunities for success.  St. Louis County Library supports local businesses through engaging programming, reputable resources and friendly service.  Entrepreneurs and small business owners need data that is fast, accurate and relevant to their needs.  Get your business off to a great start—or grow your existing business—with help from the St. Louis County Library. 
Book a Librarian at Headquarters for help with business plans, choosing a business site, making marketing lists, finding demographics, and more.  Call 314-994-3300 ext. 2050 to make your appointment.",38.6301169,-90.4049885
"Tech Artista (formerly Covo)","401 Pine St, St. Louis, MO 63102, USA","<p>TechArtista’s downtown office space (formerly Covo) is what working downtown should feel like. They converted the iconic Mississippi Valley Trust bank (built in 1896) into a stunning coworking space. Covo, the San Francisco-based coworking company filled the space with warm communal tables, a beautiful bar called Trust, and plenty of private meeting rooms and offices that will make you proud to work there. St. Louis coworking brand, Tech Artista, recently acquired the space.</p>",38.6269813,-90.1884652
"Nebula","3407 S Jefferson Ave, St. Louis, MO 63118, United States","Nebula has been available to the small businesses in St. Louis since 2010, making it one of the first co-working spaces in the city. With more than 85 businesses currently using the space—and an even longer member list—Nebula houses more than its fair share of innovation. Take, for example, Griffin 3D, which aims to be the first company from St. Louis to produce and sell 3D printers, with the goal of making them affordable to everyone; Uke Go Girl!, a week-long workshop that empowers girls to explore creative expression and build self-esteem through playing ukulele; and Context Industrial Security, which specializes in the cybersecurity of industrial control systems, such as those that control the electricity that powers our businesses and homes.</p><p><a href='https://twitter.com/nebulastl target='_blank'>Twitter</a><br><a href='https://www.facebook.com/NebulaSTL target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/2487692?trk=tyah target='_blank'>Linkedin</a></p>",38.5930323,-90.225859
"Lifepack","6323 Delmar Blvd, University City, St. Louis County, MO, United States","<p>Lifepack produces packaging (plates, cups, sleeves, boxes etc.) made of natural fibers and local seeds that can germinate and are 100% biodegradable. After use, they can germinate into new plants (strawberries, flowers, tomatoes, herbs, etc.); close to 70% of packaging can germinate after one week.</p>",38.6559996,-90.3036413
"Missouri Small Business Development Centers (SBDCs)","416 S 6th St, St. Louis, MO, United States","The Missouri Small Business & Technology Development Centers (MO SBTDC) help businesses in every stage.</p><p><a href='https://twitter.com/MObusinessNet target='_blank'>Twitter</a><br><a href='https://www.facebook.com/missouribusiness.net target='_blank'>Facebook</a><br><a href='https://www.linkedin.com/groups?home=&gid=6523219 target='_blank'>Linkedin</a>",38.6189975,-90.1938017
"Accelerate St. Louis Challenge","St. Louis, MO, United States","The Accelerate St. Louis Challenge and the St. Louis Export Challenge are competitions for the top local startups. The reward: No-strings-attached cash, top-tier professional services, new office space and an opportunity to compete in front of St. Louis’ startup community. With some of the biggest sponsors and best prize packages, the challenge highlights local entrepreneurs, helps them develop their venture and rewards the best-of-the-best in an all-out public celebration.</p><p><a href='https://twitter.com/AccelerateSTL target='_blank'>Twitter</a><br><a href='https://www.facebook.com/AccelerateStLouis target='_blank'>Facebook</a>",38.6270025,-90.1994042
"Center for Emerging Technologies","20 South Sarah Street, St. Louis, MO, United States","Founded in 1998, the Center for Emerging Technologies (CET) is the largest and oldest Innovation Center in Missouri. CET is nationally recognized for providing the infrastructure and resources needed for early-stage, high-growth companies in the fields of information technology, bioscience and consumer/manufactures products to innovate and thrive. An affiliate of the Cortex Innovation Community since 2012, CET fills an important program role in the Cortex district and broader St. Louis region.</p><p><a href='https://twitter.com/CET_STL target='_blank'>Twitter</a><br><a href='https://www.facebook.com/Center-for-Emerging-Technologies-569092483268569/?ref=hl target='_blank'>Facebook</a></p>",38.6362117,-90.2467661
"Cofactor Genomics","4044 Clayton Ave, St. Louis, MO 63110, United States","Cofactor Genomics uses RNA to diagnose disease. Our RNA-based tests are enabling drug companies to develop new drugs and helping physicians make personalized medicine a reality. Cofactor provides unique and valuable diagnostics and disease monitoring for the 95% of diseases that cannot be diagnosed by DNA.

Reading a patient’s DNA informs someone about a probability of someday contracting the disease, but says little about their current state of health. This is because our DNA remains largely unchanged throughout our life. RNA, on the other hand, is changing all the time in response to diet, exercise, infection, and disease. It serves as a barometer of health, reporting on what is happening in your body right at this instant. Our team of former Human Genome Project Scientists (who have worked together for 15 years) have developed technologies necessary to enable RNA’s use as a diagnostic.<br><a href='https://cofactorgenomics.com/careers target='_blank'>Job Openings</a></p>",38.6318542,-90.2485777
"Griffin 3D","2222 South Jefferson Avenue, St. Louis, MO, United States","Griffin 3D is a local designer and manufacturer of 3D printers and custom products.",38.6091816,-90.2217293
"St. Louis Black Entrepreneurs Meetup","St. Louis, MO, United States","The Saint Louis Black Entrepreneurs Meetup exists to help black-owned businesses thrive. The group provides educational seminars, networking opportunities, shares best practices and uses the power of cooperative economics to propel each other forward.",38.6270025,-90.1994042
"Hůga Bar","4240 Duncan Avenue, St. Louis, MO, United States","Hůga is about celebrating and sharing life. Hůga is good company and unhurried time. Hůga is the love and traditions you’ll taste in these bars, which are inspired by recipes from family and friends around the world.

Soon moving to a warehouse space in West St. Louis County.</p><p><a href='https://twitter.com/hugabars target='_blank'>Twitter</a>",38.6346357,-90.2513342
"Girls Who Code","St. Louis, MO, United States","Girls Who Code is a national non-profit organization dedicated to closing the gender gap in technology. It was founded with a single mission: to close the gender gap in technology. They offer a network and support for girls learning to code, helping them create technology that makes the world a better place. Girls Who Code currently has partnerships with almost 10 secondary schools in St. Louis.</p><p><a href='https://twitter.com/girlswhocode target='_blank'>Twitter</a><br><a href='https://www.facebook.com/GirlsWhoCode target='_blank'>Facebook</a></p>",38.6270025,-90.1994042
"Ameren Accelerator","4240 Duncan Avenue, St. Louis, MO, United States","<p>The Ameren Accelerator is a partnership between Ameren Corporation, Capital Innovators and the University of Missouri-St. Louis' UMSL Accelerate. Every year, the accelerator selects five to seven energy technology startup companies to participate in the program, with each receiving $100,000 in seed capital and mentorship from senior staff at Ameren.</p>",38.6346357,-90.2513342
"Open Data STL Meetup","St. Louis, MO, United States","A volunteer brigade of Code for America working to address civic and community issues through open data and technology.</p><p><a href='https://twitter.com/opendatastl/ target='_blank'>Twitter</a><br><a href='https://www.facebook.com/groups/517411905120098/ target='_blank'>Facebook</a></p>",38.6270025,-90.1994042
"Cast","911 Washington Avenue, St. Louis, MO, United States","Cast is an integrated software and data analysis platform allowing brands and businesses to aggregate feedback and engage customers across multiple channels.</p><p><a href='https://twitter.com/thecastapp target='_blank'>Twitter</a>",38.6314422,-90.1931569
"SCORE St. Louis Chapter","1222 Spruce St, St. Louis, MO, United States","SCORE St. Louis' mission is to “Start, grow, and build small businesses through education provided by experienced business professionals.”  It offers free business counseling and resources, low-cost workshops, and free business scan services.  Whether you’re starting a business, preparing for a loan, or have existing business issues or opportunities, SCORE mentors are ready help.</p><p><a href='http://www.twitter.com/scorestl target='_blank'>Twitter</a><br><a href='http://www.facebook.com/stlscore target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/score-st-louis-chapter target='_blank'>Linkedin</a></p>",38.6241019,-90.199999
"Babyation","911 Washington Avenue, St. Louis, MO, United States","Babyation’s patent-pending breast pump has redefined the breast pumping experience. Our product is quiet and our re-imagined form-factor allows a woman to keep her shirt on while pumping. For the first time, a mom can pump anytime, anywhere and however she wants...and the world around her doesn't have to know.",38.6314422,-90.1931569
"Skandalaris Cup","Washington University in St. Louis, St. Louis, MO, United States","<p>The Skandalaris Cup supports new venture creation, as part of the Skandalaris Center’s three goals of engaging students and faculty, providing practical training, and access to funding for the most promising ventures. The experience allows ideas to mature, entrepreneurs to learn, and new business networks to develop.</p>",38.6487895,-90.3107962
"Missouri University of Science and Technology","300 West 13th Street, Rolla, MO, United States","Founded in 1870 as the Missouri School of Mines and Metallurgy, Missouri S&T is a top research university with about 8,900 students and part of the four-campus University of Missouri System.

Located in Rolla, Mo., Missouri S&T offers 97  degree options in a variety of majors – including business and information technology, the humanities and social sciences, the liberal arts, education, engineering and the sciences.",37.9542065,-91.7713262
"Olio City","911 Washington Avenue, St. Louis, MO, United States","Olio City is a personalized city discovery application. We curate the best a city has to offer in events, restaurants and attractions then utilize machine learning to learn users likes and dislikes to make quality recommendations. Olio City is the first city guide app combining original content with a learning algorithm.",38.6314422,-90.1931569
"Intact Genomics, Inc.","1100 Corporate Square Drive, St. Louis, MO, United States","Intact Genomics is an industry leader in molecular biology related products and genomic services. We provide high-quality life science products and large DNA fragment cloning related services, to help scientists explore the genome structure and function of microorganisms, plants, and animal species.<p></p>",38.6776737,-90.4004921
"SteadyMD","4818 Washington Avenue, St. Louis, MO, United States","<p>SteadyMD is a technology company and healthcare provider that enables members and doctors to pair up, collaborate, and develop long-term personal relationships, completely online. The SteadyMD Matching Engine evaluates each new member and doctor across hundreds of medical, fitness, and lifestyle attributes to help spark a connection and pair them up successfully.</p>",38.6499727,-90.2602052
"Startup Connection","Washington University in St. Louis, St. Louis, MO, United States","Startup Connection is St. Louis' biggest annual startup event. The event gives St. Louis’ top startups the opportunity to present their companies to a packed house of entrepreneurs, investors, and other members of the innovation community. The event combines a startup showcase, resource fair, and is topped off with fast-paced pitch session. This event is held during Global Entrepreneurship Week in November each year.</p><p><a href='https://twitter.com/SUConnectionSTL target='_blank'>Twitter</a><br><a href='https://www.facebook.com/startupconnectionstlouis target='_blank'>Facebook</a></p>",38.6487895,-90.3107962
"Simpara","2320 Marconi Ave, St. Louis, MO 63110, United States","Simpara's powerful all-in-one HR platform streamlines your growing business. We deliver modern benefit solutions to encourage employees to be healthy, boost engagement, and celebrate life.</p><p><a href='https://twitter.com/SimparaHR target='_blank'>Twitter</a>",38.613078,-90.272846
"FinLocker","7801 Forsyth Blvd, Clayton, St. Louis, Missouri 63105, United States","FinLocker is a consumer-enabled financial technology platform that gives lenders access to critical borrower information via a trusted 3rd party that can be used to streamline the origination and underwriting processes for mortgages and other financial products.",38.650403,-90.337273
"Bonfyre Inc","5257 Shaw Ave #102, St. Louis, MO 63110, USA","Bonfyre is an experience network. Privately chat and share photos around experiences with the people that matter, not your entire social network. No noisy news feeds, just what you’re doing and who you’re doing it with. Our mission is to redefine sharing to better reflect real life. We have created a mobile app built around your experiences with the people that matter instead of newsfeeds and static circles. With experiences as our core, Bonfyre is a dynamic social app rather than an accumulation of connections that become less relevant over time. As we grow, our top priority is developing relevant technologies that deliver visibility into real social life, bridging the gap between on and offline.",38.6184272,-90.2741883
"Civic Progress","800 Market Street, St. Louis, MO, United States","Civic Progress is an organization of CEOs and top executives from the St. Louis region’s largest private sector employers who are working to improve the quality of community and business life for all the residents of the bi-state metropolitan area. As part of its mission to improve the quality of community and business life in the St. Louis region, Civic Progress focuses its resources and energy on issues that our members believe are essential to being a world-class region.",38.6259882,-90.1942495
